Date : 2024-02-24 00:52:01
Directory : /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT
Total : 51 files,  1297 codes, 71 comments, 313 blanks, all 1681 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         39 |        812 |         70 |        271 |      1,153 |
| XML      |          7 |        386 |          0 |         22 |        408 |
| JSON     |          3 |         67 |          0 |          2 |         69 |
| Markdown |          1 |         29 |          0 |         14 |         43 |
| HTTP     |          1 |          3 |          1 |          4 |          8 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                               |         51 |      1,297 |         71 |        313 |      1,681 |
| . (Files)                                                                                                                                                       |          2 |        213 |          0 |         14 |        227 |
| src                                                                                                                                                             |         47 |      1,042 |         71 |        290 |      1,403 |
| src/MagellanGPT.API                                                                                                                                             |         10 |        248 |         36 |         55 |        339 |
| src/MagellanGPT.API (Files)                                                                                                                                     |          6 |        138 |         11 |         32 |        181 |
| src/MagellanGPT.API/Controllers                                                                                                                                 |          2 |         41 |         18 |         12 |         71 |
| src/MagellanGPT.API/Properties                                                                                                                                  |          1 |         41 |          0 |          0 |         41 |
| src/MagellanGPT.API/Services                                                                                                                                    |          1 |         28 |          7 |         11 |         46 |
| src/MagellanGPT.Application                                                                                                                                     |         21 |        412 |         21 |        134 |        567 |
| src/MagellanGPT.Application (Files)                                                                                                                             |          2 |         75 |          0 |          9 |         84 |
| src/MagellanGPT.Application/ChatbotUseCases                                                                                                                     |          3 |         73 |          1 |         25 |         99 |
| src/MagellanGPT.Application/ChatbotUseCases/Commands                                                                                                            |          2 |         31 |          0 |         12 |         43 |
| src/MagellanGPT.Application/ChatbotUseCases/Commands/CreateAICompletion                                                                                         |          2 |         31 |          0 |         12 |         43 |
| src/MagellanGPT.Application/ChatbotUseCases/Queries                                                                                                             |          1 |         42 |          1 |         13 |         56 |
| src/MagellanGPT.Application/Common                                                                                                                              |         15 |        250 |         20 |         94 |        364 |
| src/MagellanGPT.Application/Common/Behaviours                                                                                                                   |          5 |        124 |          8 |         45 |        177 |
| src/MagellanGPT.Application/Common/Exceptions                                                                                                                   |          3 |         43 |          0 |         13 |         56 |
| src/MagellanGPT.Application/Common/Interfaces                                                                                                                   |          4 |         34 |          0 |         18 |         52 |
| src/MagellanGPT.Application/Common/Models                                                                                                                       |          2 |         41 |          0 |         13 |         54 |
| src/MagellanGPT.Application/Common/Security                                                                                                                     |          1 |          8 |         12 |          5 |         25 |
| src/MagellanGPT.Application/RAGUseCases                                                                                                                         |          1 |         14 |          0 |          6 |         20 |
| src/MagellanGPT.Application/RAGUseCases/Commands                                                                                                                |          1 |         14 |          0 |          6 |         20 |
| src/MagellanGPT.Domain                                                                                                                                          |          4 |         58 |          3 |         15 |         76 |
| src/MagellanGPT.Domain (Files)                                                                                                                                  |          2 |         32 |          3 |          4 |         39 |
| src/MagellanGPT.Domain/Common                                                                                                                                   |          2 |         26 |          0 |         11 |         37 |
| src/MagellanGPT.Infrastructure                                                                                                                                  |          9 |        296 |         11 |         78 |        385 |
| src/MagellanGPT.Infrastructure (Files)                                                                                                                          |          2 |         64 |          1 |         12 |         77 |
| src/MagellanGPT.Infrastructure/Identity                                                                                                                         |          3 |         83 |          1 |         32 |        116 |
| src/MagellanGPT.Infrastructure/OpenAI                                                                                                                           |          1 |         41 |          1 |          7 |         49 |
| src/MagellanGPT.Infrastructure/Persistence                                                                                                                      |          3 |        108 |          8 |         27 |        143 |
| src/MagellanGPT.Infrastructure/Persistence (Files)                                                                                                              |          2 |         94 |          8 |         22 |        124 |
| src/MagellanGPT.Infrastructure/Persistence/Configurations                                                                                                       |          1 |         14 |          0 |          5 |         19 |
| src/MagellanGPT.Shared                                                                                                                                          |          3 |         28 |          0 |          8 |         36 |
| src/MagellanGPT.Shared (Files)                                                                                                                                  |          1 |         13 |          0 |          3 |         16 |
| src/MagellanGPT.Shared/Constants                                                                                                                                |          2 |         15 |          0 |          5 |         20 |
| tests                                                                                                                                                           |          2 |         42 |          0 |          9 |         51 |
| tests/MagellanGPT.UnitTests                                                                                                                                     |          2 |         42 |          0 |          9 |         51 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/README.md                                                                                              | Markdown |         29 |          0 |         14 |         43 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/SonarLint.xml                                                                                          | XML      |        184 |          0 |          0 |        184 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Controllers/ApiControllerBase.cs                                                   | C#       |          9 |          0 |          5 |         14 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Controllers/ChatbotController.cs                                                   | C#       |         32 |         18 |          7 |         57 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/DependencyInjection.cs                                                             | C#       |         49 |          0 |          8 |         57 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/MagellanGPT.API.csproj                                                             | XML      |         36 |          0 |          4 |         40 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/MagellanGPT.API.http                                                               | HTTP     |          3 |          1 |          4 |          8 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Program.cs                                                                         | C#       |         24 |         10 |         14 |         48 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Properties/launchSettings.json                                                     | JSON     |         41 |          0 |          0 |         41 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Services/CurrentUserService.cs                                                     | C#       |         28 |          7 |         11 |         46 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/appsettings.Development.json                                                       | JSON     |         17 |          0 |          0 |         17 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/appsettings.json                                                                   | JSON     |          9 |          0 |          2 |         11 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/ChatbotUseCases/Commands/CreateAICompletion/CreateAICompletionHandler.cs   | C#       |         21 |          0 |          8 |         29 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/ChatbotUseCases/Commands/CreateAICompletion/CreateAICompletionValidator.cs | C#       |         10 |          0 |          4 |         14 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/ChatbotUseCases/Queries/GetDataFromCosmosDbHandler.cs                      | C#       |         42 |          1 |         13 |         56 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/AuthorizationBehaviour.cs                                | C#       |         18 |          1 |          7 |         26 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/LoggingBehaviour.cs                                      | C#       |         18 |          0 |          7 |         25 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/PerformanceBehaviour.cs                                  | C#       |         35 |          7 |         14 |         56 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/UnhandledExceptionBehaviour.cs                           | C#       |         24 |          0 |          8 |         32 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/ValidationBehaviour.cs                                   | C#       |         29 |          0 |          9 |         38 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Exceptions/ForbiddenAccessException.cs                              | C#       |          5 |          0 |          1 |          6 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Exceptions/NotFoundException.cs                                     | C#       |         20 |          0 |          6 |         26 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Exceptions/ValidationException.cs                                   | C#       |         18 |          0 |          6 |         24 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Interfaces/IApplicationDbContext.cs                                 | C#       |         13 |          0 |          3 |         16 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Interfaces/ICurrentUserService.cs                                   | C#       |          5 |          0 |          3 |          8 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Interfaces/IIdentityService.cs                                      | C#       |         10 |          0 |          8 |         18 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Interfaces/IOpenAIService.cs                                        | C#       |          6 |          0 |          4 |         10 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Models/ConversationDTO.cs                                           | C#       |         22 |          0 |          6 |         28 |
| /Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Models/Result.cs                                                    | C#       |         19 |          0 |          7 |         26 |
